time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,scaling_resp_time,scaling_replicas,scaling_workload,base_resp_time,base_workload
0,null,1,null,null,1,1.597763132,null,1,null,null,1.4
2,null,1,null,null,1,1.597763132,null,1,1.4,null,1.4
4,null,1,null,null,1,1.401962748,null,1,1.6,0.01115,57
6,null,1,null,null,1,1.401962748,null,1,1.6,0.01115,57
8,null,1,null,null,1,1.401962748,0.023786977,1,138.17728,0.0245125,198.8
10,0.022714662,1,null,null,1,186.10704,0.023829659,1,177.05728,0.0245125,198.8
12,0.022558274,1,null,null,1,197.2,0.023855337,1,195.8,0.0245125,198.8
14,0.022454636,1,null,null,1,193.2,0.024849942,1,190.2,0.041241379,195.2
16,0.023714751,1,null,null,1,193.2,0.024865942,1,190.2,0.041241379,195.2
18,0.023700613,1,null,null,1,193.2,0.040364035,1,199.4,0.049966837,180.2
20,0.024831963,1,null,null,1,200,0.040491647,1,199.4,0.049966837,180.2
22,0.024830774,1,null,null,1,200,0.04059255,1,199.4,0.049966837,180.2
24,0.024829817,1,null,null,1,185.8,0.046976975,1,181.6,0.090938636,173.8
26,0.032854291,1,null,null,1,185.8,0.047007271,1,181.6,0.090938636,173.8
28,0.032895807,1,null,null,1,185.8,0.096673,1,196.2,0.099091006,169.2
30,0.040604652,1,null,null,1,197.6,0.096759919,1,196.2,0.099091006,169.2
32,0.041119485,1,null,null,1,197.6,0.097851266,1,196.2,0.099091006,169.2
34,0.041119485,1,null,null,1,249,0.165476744,1,209.4,0.228976562,186.2
36,0.070741379,1,null,null,1,249,0.165476744,1,209.4,0.228976562,186.2
38,0.070741379,1,null,null,1,249,0.35013587,1,323.8,1.237368421,257.6
40,0.20096875,1,null,null,1,325.8,0.35013587,1,323.8,1.237368421,257.6
42,0.20096875,1,null,null,1,325.8,0.35013587,1,323.8,1.237368421,257.6
44,0.20096875,1,null,null,1,345.8,0.334945652,1,311.4,1.667040816,309.2
46,0.482403846,1,null,null,1,345.8,0.334945652,1,311.4,1.667040816,309.2
48,0.482403846,1,null,null,1,345.8,1.657519685,1,393.2,2.236774194,390.8
50,2.185428571,1,null,null,1,357.8,1.657519685,1,393.2,2.236774194,390.8
52,2.185428571,1,null,null,1,357.8,1.657519685,1,393.2,2.236774194,390.8
54,2.185428571,1,null,null,1,392.8,2.223684211,1,379.8,2.32910061,358.6
56,2.388715953,1,null,null,1,392.8,2.223684211,1,379.8,2.32910061,358.6
58,2.388715953,1,null,null,1,392.8,2.383598081,1,375,2.389421277,423.6
60,2.431245552,1,null,null,1,393.4,2.383598081,1,375,2.389421277,423.6
62,2.431245552,2,null,null,2,393.4,2.383598081,1,375,2.389421277,423.6
64,2.431245552,2,null,null,2,396.8,2.479356884,1,364,2.412176656,381.4
66,2.467135678,3,null,null,3,396.8,2.479356884,1,364,2.412176656,381.4
68,2.467135678,3,null,null,3,401.26872,3.710164835,1,373.4,2.42997334,379.2
70,1.623481439,3,null,null,3,395.00572,3.710164835,1,373.4,2.42997334,379.2
72,1.089736016,3,null,null,3,397.3502,3.710164835,1,373.4,2.42997334,379.2
74,1.089936669,3,null,null,3,409.6,4.235530547,3,417.4,2.445657111,411
76,1.130887249,3,null,null,3,411.6,4.235530547,3,417.4,2.445657111,411
78,1.13089516,3,null,null,3,414.8,4.41637931,3,373.2,2.451820705,379.2
80,1.057958378,3,null,null,3,386.9982803,4.41637931,3,373.2,2.451820705,379.2
82,1.058606273,3,null,null,3,386.9982803,2.213107904,3,375.7732,2.451820705,379.2
84,1.065125964,3,null,null,3,391.1982803,2.304052056,3,440.1732,3.297048611,418.6
86,1.377683404,3,null,null,3,393.6022004,1.543724658,3,445.28936,3.297048611,418.6
88,1.377685497,3,null,null,3,392.0022004,1.590300747,3,340.87942,3.412258065,388.2
90,1.430864065,3,null,null,3,389,1.612041859,3,352.08742,3.412258065,388.2
92,1.437749955,3,null,null,3,389,1.634386145,3,362.29016,3.412258065,388.2
94,1.439425052,3,null,null,3,419.8,1.635048407,3,392,4.091911765,386.6
96,1.392293756,3,null,null,3,423.6,1.636942398,3,393.6,4.091911765,386.6
98,1.392312105,3,null,null,3,428.2,1.64535798,3,408.8,4.223328025,385.8
100,1.446133662,3,null,null,3,405.4,1.645504836,3,405.4,4.223328025,385.8
102,1.476714899,3,null,null,3,405.4,1.642907559,3,412.6,4.223328025,385.8
104,1.503175329,3,null,null,3,367.2,1.625598694,3,401.8,4.375251889,412.6
106,1.672233836,3,null,null,3,371.4,1.625209044,3,411,4.375251889,412.6
108,1.672233836,3,null,null,3,362.8,1.529540486,3,401.4,4.037055336,383.2
110,1.689971959,3,null,null,3,400.2,1.529420904,3,397.8,4.037055336,383.2
112,1.685805292,3,null,null,3,400.2,1.527166391,3,394.2,4.037055336,383.2
114,1.688573251,3,null,null,3,425.2,1.42404431,3,368.6,4.37894402,392
116,1.640265595,3,null,null,3,409,1.424493141,3,374,4.37894402,392
118,1.640265595,3,null,null,3,392.6,1.517285579,3,400.8,4.396560197,398.6
120,1.678934772,3,null,null,3,365.3889222,1.517653955,3,395.990004,4.396560197,398.6
122,1.686548611,3,null,null,3,365.3889222,1.579967808,3,414.590004,4.396560197,398.6
124,1.711752886,3,null,null,3,432.7889222,1.529006394,3,401.190004,4.610454545,332.4
126,1.703198323,3,null,null,3,409.6064413,1.560762201,3,411.0139256,4.610454545,332.4
128,1.703198323,3,null,null,3,392.2064413,1.686718617,3,357.0139256,4.675621415,398.4
130,1.564526044,3,null,null,3,359.4,1.70234999,3,364.4,4.675621415,398.4
132,1.566685298,3,null,null,3,359.4,1.704969768,3,390.2,4.675621415,398.4
134,1.565075242,3,null,null,3,448.2,1.706879835,3,415.6,4.951633166,374.2
136,1.148188156,3,null,null,3,421.4,1.708651723,3,406,4.951633166,374.2
138,1.148188156,3,null,null,3,406.6,1.708233878,3,390.2,6.605,404.8
140,1.711298854,3,null,null,3,422.2,1.761609816,3,408.8,6.605,404.8
142,1.711261118,3,null,null,3,422.2,1.761827349,3,412.6,6.605,404.8
144,1.708016357,3,null,null,3,356.2,1.728516339,3,391.4,7.806192661,410.8
146,1.800787734,3,null,null,3,357.2,1.726885904,3,374.4,7.806192661,410.8
148,1.800787734,3,null,null,3,383.8,1.692870548,3,376.4,7.433246073,380.2
150,1.775570642,3,null,null,3,413.2,1.693414027,3,373.8,7.433246073,380.2
152,1.782418117,3,null,null,3,413.2,1.748648989,3,398,7.433246073,380.2
154,1.824735715,3,null,null,3,382,1.159166277,3,380.4,7.459947644,378.2
156,1.851243768,3,null,null,3,388.3907219,1.184765952,3,390.4,7.459947644,378.2
158,1.851243768,3,null,null,3,393.7907219,1.481372094,3,403,6.413669065,427
160,1.904446326,3,null,null,3,417.015003,1.483044638,3,410.4,6.413669065,427
162,1.903239565,3,null,null,3,417.015003,1.492154426,3,417.4,6.413669065,427
164,1.902728812,3,null,null,3,340.615003,1.457625681,3,427.4,4.905229358,384.8
166,2.353985247,3,null,null,3,316.2,1.457200351,3,412.2,4.905229358,384.8
168,2.353985247,3,null,null,3,335.8,1.263394878,3,403.4,4.422488038,368.2
170,2.783310967,3,null,null,3,467.4,1.264948478,3,409.6,4.422488038,368.2
172,2.851606422,3,null,null,3,467.4,1.265911769,3,385.6,4.422488038,368.2
174,2.866445131,3,null,null,3,378.4,1.280880548,3,388.2,4.415291262,376.4
176,2.877256265,3,null,null,3,384,1.280705389,3,386.6,4.415291262,376.4
178,2.877256265,3,null,null,3,383.6,1.517854876,3,378,4.64212766,336.6
180,2.859314078,3,null,null,3,370.8,1.512633737,3,393,4.64212766,336.6
182,2.921882728,3,1,null,4,370.8,1.511095275,3,393.8,4.64212766,336.6
184,2.915670606,3,1,null,4,365.8,1.327870138,3,383,4.796548619,437.6
186,2.874503126,3,3,null,6,280.6,1.319512485,3,374.2,4.796548619,437.6
188,2.874503126,3,3,null,6,231.58544,1.647014508,3,421.5434279,4.997969543,361.4
190,2.946806979,3,3,null,6,1.50544,1.645019799,3,417.1434279,4.997969543,361.4
192,2.25896895,1,3,null,4,21.5287,1.692020572,3,429.6716059,4.997969543,361.4
194,1.539988563,1,3,null,4,53,1.722055522,3,405.2716059,4.993559645,396.4
196,1.577349466,null,3,null,3,125.9603679,1.658015432,3,409.4716059,4.993559645,396.4
198,1.391827528,null,3,null,3,277.7221731,1.71103317,3,363.8,4.992497404,393.4
200,1.085660831,null,3,null,3,340.7209058,1.710890905,3,357.2,4.992497404,393.4
202,1.432772614,null,3,null,3,324.425245,1.710851222,3,354.8,4.992497404,393.4
204,1.939124879,null,3,null,3,351.425245,1.770393763,3,360,4.923178138,346
206,1.788443409,null,3,null,3,362.4,1.770053693,3,381.2,4.923178138,346
208,1.80745677,null,3,null,3,441.6,1.784220758,3,396.8,4.886074561,453.8
210,2.179419994,null,3,null,3,441.6,1.838469374,3,387.2,4.886074561,453.8
212,2.172576697,null,3,null,3,440.6,1.838032866,3,397.6,4.886074561,453.8
214,2.221322089,null,3,null,3,399,1.819625961,3,403.8,4.830519481,417.4
216,2.221687102,null,3,null,3,369.8,1.830534692,3,408,4.830519481,417.4
218,2.209786417,null,3,null,3,301.6,1.788868989,3,345,4.838188976,443.2
220,2.194759894,null,3,null,3,301.6,1.784005043,3,392.8,4.838188976,443.2
222,2.209968465,null,3,null,3,283.2,1.783030916,3,399.4,4.838188976,443.2
224,2.213610096,null,3,null,3,301.4,1.76954312,3,333.8,4.802292769,304
226,2.213610096,null,3,1,4,303.8,1.765257406,3,320.8,4.802292769,304
228,2.143695017,null,3,1,4,198,1.564271655,3,288.2,4.7475,297.4
230,2.14483473,null,3,1,4,198,1.573488922,3,304.1791242,4.7475,297.4
232,2.10979162,null,3,3,6,95.6,1.582648677,3,326.9791242,4.7475,297.4
234,2.014886476,null,3,3,6,136.2,1.063094159,3,336.5791242,4.43254717,327.4
236,1.63168392,null,2,3,5,236.45008,1.077574479,3,342.2220044,4.43254717,327.4
238,0.993431026,null,2,3,5,126.7332787,1.114047121,3,334.4220044,2.474549601,313.2
240,0.791005336,null,2,3,5,217.6162948,1.53657337,3,347,2.474549601,313.2
242,0.503387656,null,1,3,4,352.9754613,1.995965859,3,360.8,2.474549601,313.2
244,0.510504438,null,1,3,4,363.8017696,1.9686837,3,356.6,2.383068862,327.8
246,0.817544536,null,null,3,3,328.4017696,2.078243723,3,371.2,2.383068862,327.8
248,1.687378874,null,null,3,3,350.8,2.077657069,3,356.6,2.406310345,371.8
250,1.762248182,null,null,3,3,407.2,2.146571471,3,305.4,2.406310345,371.8
252,2.114880381,null,null,3,3,384.4,2.247990806,3,340.6,2.406310345,371.8
254,1.823198668,null,null,3,3,384.4,2.276184007,3,343.2,2.426050175,397.4
256,1.827141903,null,null,3,3,389,2.282747208,3,404,2.426050175,397.4
258,1.87161984,null,null,3,3,368.8,2.310420728,3,444.4,2.46297241,365.6
260,2.333139516,null,null,3,3,423.2,2.324573807,3,394.4,2.46297241,365.6
262,2.333395474,null,null,3,3,407.4,2.350048513,3,376,2.46297241,365.6
264,2.317207194,null,null,3,3,407.4,2.357270162,3,335.6,3.549371069,390
266,2.335515627,null,null,3,3,388.4,2.364648537,3,397.4,3.549371069,390
268,2.347940857,null,null,3,3,361.4,2.350922038,3,414,3.863849765,418.6
270,2.347940857,null,null,3,3,433.4,2.361275607,3,364.8,3.863849765,418.6
272,2.354852758,null,null,3,3,407.2,2.39324414,3,401.8,3.863849765,418.6
274,2.368230684,null,null,3,3,407.2,2.399940189,3,400,3.977330508,366.8
276,2.372909645,null,null,3,3,385.4,2.392246405,3,440.8,3.977330508,366.8
278,2.358137901,null,null,3,3,397,2.376892712,3,408.2,3.976694915,398.4
280,2.358137901,null,null,3,3,352.8,2.37605463,3,363.6,3.976694915,398.4
282,2.350724783,null,null,3,3,390,2.365789417,3,411.6,3.976694915,398.4
284,2.356349334,null,null,3,3,390,2.359236558,3,414.2,4.254848485,401
286,2.357769446,null,null,3,3,401.4,2.354763195,3,415.2,4.254848485,401
288,2.38552543,null,null,3,3,394.8,2.347609669,3,342.8,4.0375,375.2
290,2.38552543,null,null,3,3,430.8,2.342417392,3,371.4,4.0375,375.2
292,2.391373972,null,null,3,3,377.2,2.354707,3,368,4.0375,375.2
294,2.384951655,null,null,3,3,377.2,2.352837581,3,377,4.041062802,374
296,2.38601317,null,null,3,3,368.4,2.333093887,3,391.2,4.041062802,374
298,2.386519799,null,null,3,3,387.2,2.266965145,3,444.6,3.868478261,444.4
300,2.386519799,null,null,3,3,371.5807869,2.275037006,3,399.8,3.868478261,444.4
302,2.382006989,null,null,3,3,448.5807869,2.294284004,3,430.4,3.868478261,444.4
304,2.380955143,null,null,3,3,448.5807869,2.320068007,3,386.6,3.867857143,381.4
306,2.376080064,null,null,3,3,361.6941553,2.31509803,3,426.8,3.867857143,381.4
308,2.342884303,null,null,3,3,297.4941553,2.322405004,3,367,2.478608634,339.9960024
310,2.342884303,null,null,3,3,268.653312,2.310783209,3,329.6,2.478608634,339.9960024
312,2.314719222,null,null,3,3,226.653312,2.283444378,3,308.4,2.478608634,339.9960024
314,2.290420777,null,null,3,3,226.653312,2.264457415,3,291.4,2.456512687,339.003402
316,2.275053852,null,null,3,3,243.8,2.235310469,3,253.4,2.456512687,339.003402
318,2.243975645,null,null,3,3,238.8,2.164138657,3,218.4,2.356327387,328.4
320,2.243975645,null,null,3,3,249.8,2.05795227,3,245.2,2.356327387,328.4
322,2.106876671,null,null,3,3,248,1.968987358,3,272.6,2.356327387,328.4
324,1.528841396,null,null,3,3,248,1.969558543,3,266,2.311627393,324.2
326,0.918323781,null,null,3,3,244.8,1.492360626,3,241.8,2.311627393,324.2
328,0.337463439,null,null,3,3,223,0.379251414,3,250.4,2.377174349,310
330,0.337463439,null,null,3,3,244.4,0.368149331,3,275.4,2.377174349,310
332,0.353153971,null,null,3,3,246.6,0.368580247,3,282.4,2.377174349,310
334,0.352884363,null,null,3,3,246.6,0.369307657,3,280.2,2.424910714,280
336,0.357348048,null,null,3,3,241.6,0.368505805,3,256,2.424910714,280
338,0.357442481,null,null,3,3,221.2,0.412693154,3,244.6,2.436276285,279.4
340,0.357442481,null,null,3,3,250.0206828,0.41913696,3,266.8,2.436276285,279.4
342,0.352647997,null,null,3,3,281.6206828,0.425713047,3,164.8,2.436276285,279.4
344,0.312995703,null,null,3,3,281.6206828,1.003317122,3,266.2,2.445251153,298.2
346,0.323327348,null,null,3,3,226.9334402,1.009278739,3,171.2,2.445251153,298.2
348,0.3226938,null,null,3,3,222.7334402,1.048235071,2,287.8,2.447284653,319.6
350,0.3226938,null,null,3,3,242.6,1.053473166,2,287.8,2.447284653,319.6
352,0.381352518,null,1,3,4,187.6,1.058935785,2,287.8,2.447284653,319.6
354,0.381143614,null,1,3,4,187.6,1.0629984,1,272.4,2.455196984,278.8
