time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,base_resp_time,base_workload,scale_resp_time,scale_replicas,scale_workload
0,0,1,0,0,1,1.600640256,0,1.6,0.00985,1,1.4
2,0,1,0,0,1,1.600640256,0,1.4,0.00985,1,1.4
4,0,1,0,0,1,1.4,0,1.4,0.00985,1,1.4
6,0,1,0,0,1,1.4,0,1.4,0.03825,1,163.2
8,0,1,0,0,1,1.4,0.040194142,162.43568,0.03825,1,163.2
10,0.024841258,1,0,0,1,190.3813,0.040187448,198.4,0.203526316,1,192.4
12,0.024979648,1,0,0,1,198.6,0.045589348,194.8,0.203526316,1,192.4
14,0.026275851,1,0,0,1,198.6,0.045672517,194.8,0.203526316,1,192.4
16,0.024785602,1,0,0,1,198.6,0.045733892,194.8,0.177342105,1,201.2
18,0.02482376,1,0,0,1,198.6,0.047814911,196.2,0.177342105,1,201.2
20,0.025815929,1,0,0,1,197.8,0.047863534,196.2,0.151657895,1,196.6
22,0.026305066,1,0,0,1,197.8,0.048731164,197.8,0.151657895,1,196.6
24,0.026692979,1,0,0,1,199.4,0.048758708,197.8,0.151657895,1,196.6
26,0.024897303,1,0,0,1,199.4,0.048781837,197.8,0.126605263,1,192
28,0.024908725,1,0,0,1,199.4,0.048217058,196.4,0.126605263,1,192
30,0.024734524,1,0,0,1,196,0.048453125,196.4,0.125026316,1,195
32,0.024841839,1,0,0,1,196,0.232209091,244.8,0.125026316,1,195
34,0.024841839,1,0,0,1,315.8,0.232209091,244.8,0.125026316,1,195
36,0.041404688,1,0,0,1,315.8,0.232209091,244.8,0.218598456,1,327.2
38,0.041404688,1,0,0,1,315.8,0.307335526,343.4,0.218598456,1,327.2
40,0.089944795,1,0,0,1,373.6,0.307335526,343.4,0.23455665,1,370.6
42,0.089944795,1,0,0,1,373.6,0.49516191,317.2,0.23455665,1,370.6
44,0.089944795,1,0,0,1,405.6,0.49516191,317.2,0.23455665,1,370.6
46,0.217942363,1,0,0,1,405.6,0.49516191,317.2,1.923406593,1,341.6
48,0.217942363,1,0,0,1,405.6,4.463933121,331.8,1.923406593,1,341.6
50,0.423231047,1,0,0,1,417.6,4.463933121,331.8,4.379945055,1,306.2
52,0.423231047,1,0,0,1,417.6,4.837024609,171.4,4.379945055,1,306.2
54,0.423231047,1,0,0,1,427.8,4.837024609,171.4,4.379945055,1,306.2
56,0.433913793,1,0,0,1,427.8,4.837024609,171.4,7.553067485,1,336.8
58,0.433913793,1,0,0,1,427.8,4.9049217,1.8,7.553067485,1,336.8
60,0.481191547,1,0,0,1,419.4,4.9049217,1.8,8.052453988,1,null
62,0.481191547,1,0,0,1,419.4,4.95443154,157.33402,8.052453988,1,null
64,0.481191547,1,0,0,1,412.8,4.95443154,217.37402,8.052453988,3,null
66,1.234146341,1,0,0,1,412.8,4.95443154,277.41402,8.555828221,3,null
68,1.234146341,1,0,0,1,412.8,8.166785714,225.2,8.555828221,3,null
70,2.237765599,1,0,0,1,403.4,8.166785714,225.2,8.733068783,3,215.64588
72,2.237765599,1,0,0,1,403.4,8.720220588,0.2,8.733068783,3,288.31484
74,2.237765599,1,0,0,1,430.8,8.720220588,0.2,8.733068783,3,360.9691938
76,2.413931661,1,0,0,1,430.8,8.720220588,0.2,9.496339114,3,397.3997201
78,2.413931661,1,0,0,1,430.8,8.33030303,0.59608,9.496339114,3,397.1997201
80,2.434133466,1,0,0,1,423.8,8.33030303,0.75608,9.511573034,3,363.2
82,2.434133466,1,0,0,1,423.8,7.740962027,270.71488,9.511573034,3,363.4
84,2.434133466,1,0,0,1,396.8,7.741087786,348.47488,9.511573034,3,363.2
86,2.447532787,1,0,0,1,396.8,7.741196319,388.8,9.617776189,3,153.2
88,2.447532787,1,0,0,1,396.8,9.432114883,123.2,4.821850626,3,199.4517
90,3.526086957,3,0,0,3,331,9.432114883,123.2,3.223002221,3,114.3005
92,3.526086957,3,0,0,3,331,9.431338028,1.2,3.243242248,3,79.1688
94,3.526086957,3,0,0,3,443,9.431338028,1.2,3.385635752,3,99.8
96,4.861248013,3,0,0,3,443.92996,9.431338028,1.2,3.425230171,3,100.62944
98,4.861248013,3,0,0,3,444.20996,9.191464934,146.63202,3.556772866,3,238.07204
100,2.515553661,3,0,0,3,87.13894,9.201200417,202.67202,3.545772618,3,435.28232
102,1.75316224,3,0,0,3,202.60178,9.241916698,258.71202,3.926461278,3,433.8
104,1.753296794,3,0,0,3,190.50284,9.322607656,344.2,4.446065919,3,405
106,1.98478521,3,0,0,3,143.2,9.322607656,344.2,4.365834166,3,391.6
108,2.012724315,3,0,0,3,143.2,9.535162095,null,4.561231574,3,397.4
110,2.47651405,3,0,0,3,224.31264,9.535162095,null,1.779090594,3,436
112,3.079244315,3,0,0,3,265.8,8.838059701,null,1.806210682,3,418.6
114,3.079627415,3,0,0,3,342.6,8.838059701,null,1.90675622,3,431
116,3.931373888,3,0,0,3,401.8,8.838059701,null,1.691932799,3,408.2
118,3.980470112,3,0,0,3,401.8,8.838134328,null,1.698845755,3,423.4
120,2.286100681,3,1,0,4,421.6,8.838134328,null,2.159327472,3,401.4
122,2.323624717,3,1,0,4,407.8,9.012437811,null,2.197694016,3,418.8
124,2.324239017,3,1,0,4,169.4,9.36119403,null,2.206890059,3,428.0279256
126,2.33901325,2,3,0,5,169.4,9.36119403,null,2.295110647,3,440.3350386
128,2.34766352,2,3,0,5,82.55308,null,null,2.303823834,3,383.3350386
130,1.923296725,1,3,0,4,114.31308,null,null,2.365224231,3,369.5664735
132,1.926640094,1,3,0,4,250.94248,null,null,2.365597457,3,432.5664735
134,2.227599821,1,3,0,4,407.1416,null,null,2.369300515,3,411.9967075
136,2.221986517,0,3,0,3,413.6,null,null,2.380116306,3,412.4
138,2.208153609,0,3,0,3,424.8,null,null,2.378540641,3,389.6
140,2.28216798,0,3,0,3,424.8,null,null,2.383225187,3,439.4
142,2.286977314,0,3,0,3,410,null,null,2.379147559,3,433.2
144,2.233283407,0,3,0,3,381.2,null,null,2.378771405,3,437.4
146,2.16181746,0,3,0,3,381.2,null,null,2.423607139,3,408.6
148,2.060055053,0,3,0,3,408.8,null,null,2.41960819,3,405.6
150,2.163779665,0,3,0,3,408.8,null,null,2.414920579,3,415.6
152,2.16428605,0,3,0,3,425,null,null,2.401441412,3,410.8037148
154,2.241769445,0,3,0,3,387.4,null,null,2.374276285,3,429.0037148
156,2.249811309,0,3,0,3,387.4,null,null,2.372355867,3,405.8037148
158,2.250357643,0,3,0,3,407.8,null,null,2.378317921,3,426.6254356
160,2.29935554,0,3,0,3,407.8,null,null,2.397173687,3,447.2254356
162,2.29935554,0,3,0,3,407.4,null,null,2.394702018,3,428.8
164,2.3339234,0,3,0,3,268.6,null,null,2.398190376,3,407.4
166,2.3339234,0,3,2,5,268.6,null,null,2.402623397,3,393
168,2.342532951,0,3,2,5,167.2,null,null,2.409671319,3,398.6
170,2.360382272,0,2,3,5,176.9220556,null,null,2.369731459,3,408.4
172,1.794575079,0,2,3,5,180.0576685,null,null,2.373090352,3,409.4
174,1.802235926,0,2,3,5,15.69710058,null,null,2.382073545,3,409.4
176,1.898532545,0,0,3,3,195.18082,null,null,2.397443128,3,411.8
178,1.585107163,0,0,3,3,253.38082,null,null,2.410224841,3,409.8
180,1.578327192,0,0,3,3,284,null,null,2.420394804,3,416.2
182,2.290984077,0,0,3,3,421.7736453,null,null,2.431800149,3,414.2
184,1.847088312,0,0,3,3,421.7736453,null,null,2.431823385,3,405.2
186,1.859042168,0,0,3,3,420.602291,null,null,2.433490673,3,407.2
188,2.232433743,0,0,3,3,398.8286457,null,null,2.435134501,3,413.2
190,2.267173311,0,0,3,3,393.9723255,null,null,2.43699856,3,411.2
192,2.280445095,0,0,3,3,415.7460108,null,null,2.437224951,3,413
194,2.323301361,0,0,3,3,415.7460108,null,null,2.438072585,3,423.4
196,2.319591193,0,0,3,3,435.4319664,null,null,2.43886747,3,425
198,2.357812499,0,0,3,3,398.0319664,null,null,2.649697717,3,408.6
200,2.359790067,0,0,3,3,433.6319664,null,null,2.648214204,3,406.6
202,2.386301835,0,0,3,3,408,null,null,2.495596683,3,424
204,2.385565195,0,0,3,3,408,null,0.4,2.493435839,3,401.6
206,2.392980215,0,0,3,3,374.4285257,null,0.4,2.491433481,3,378
208,2.411401537,0,0,3,3,396.6285257,9.881877577,378.00784,2.432697325,3,385.2
